Ticker,Date,Open,High,Low,Close,Volume,Daily_Return,MA7,MA21,Price_Range
INFY,2025-04-01,1495.01,1502.92,1474.22,1482.62,12680733,,,,28.7
INFY,2025-04-02,1491.07,1510.93,1491.07,1505.59,6193478,0.0155,,,19.86
INFY,2025-04-03,1490.54,1490.54,1442.36,1453.48,10459504,-0.0346,,,48.18
INFY,2025-04-04,1418.52,1429.69,1406.38,1409.92,9590254,-0.03,,,23.31
INFY,2025-04-07,1313.14,1365.49,1269.43,1356.6,21715252,-0.0378,,,96.06
INFY,2025-04-08,1389.87,1414.63,1374.33,1387.73,12805001,0.0229,,,40.3
INFY,2025-04-09,1364.66,1368.94,1342.18,1363.35,8546854,-0.0176,1422.76,,26.76
INFY,2025-04-11,1370.69,1397.44,1356.89,1368.94,12567440,0.0041,1406.52,,40.55
INFY,2025-04-15,1404.05,1406.09,1368.5,1385.01,10178530,0.0117,1389.29,,37.59
INFY,2025-04-16,1384.04,1386.47,1356.65,1372.48,12022740,-0.009,1377.72,,29.82
INFY,2025-04-17,1357.82,1388.7,1338.68,1378.7,14264227,0.0045,1373.26,,50.02
INFY,2025-04-21,1369.47,1429.5,1369.47,1409.29,15648970,0.0222,1380.79,,60.03
INFY,2025-04-22,1398.61,1398.61,1378.5,1381.9,9399738,-0.0194,1379.95,,20.11
INFY,2025-04-23,1404.44,1445.04,1398.22,1432.51,11136642,0.0366,1389.83,,46.82
INFY,2025-04-24,1427.65,1440.28,1419.49,1429.11,7114292,-0.0024,1398.43,,20.79
INFY,2025-04-25,1433.09,1458.54,1421.43,1437.65,8329979,0.006,1405.95,,37.11
INFY,2025-04-28,1437.65,1446.78,1423.18,1439.5,5886253,0.0013,1415.52,,23.6
INFY,2025-04-29,1439.4,1466.4,1431.73,1454.46,8056743,0.0104,1426.35,,34.67
INFY,2025-04-30,1453.78,1465.43,1439.98,1456.98,7704183,0.0017,1433.16,,25.45
INFY,2025-05-02,1456.59,1479.42,1453.19,1463.59,7402310,0.0045,1444.83,,26.23
INFY,2025-05-05,1471.45,1479.22,1459.6,1465.24,4282493,0.0011,1449.5,1420.7,19.62
INFY,2025-05-06,1462.71,1472.04,1456.01,1468.05,4270530,0.0019,1455.07,1420.0,16.03
INFY,2025-05-07,1456.88,1475.14,1453.58,1464.95,5691799,-0.0021,1458.97,1418.07,21.56
INFY,2025-05-08,1464.65,1472.91,1458.05,1467.96,8424409,0.0021,1463.03,1418.76,14.86
INFY,2025-05-09,1457.56,1467.96,1451.15,1464.27,4478653,-0.0025,1464.43,1421.35,16.81
INFY,2025-05-12,1492.82,1585.09,1487.96,1580.14,11372857,0.0791,1482.03,1431.99,97.13
INFY,2025-05-13,1562.75,1565.86,1519.63,1523.51,12846210,-0.0358,1490.59,1438.46,46.23
INFY,2025-05-14,1528.76,1549.15,1524.39,1546.63,4870057,0.0152,1502.22,1447.18,24.76
INFY,2025-05-15,1544.1,1572.08,1525.84,1566.64,11151167,0.0129,1516.3,1456.6,46.24
INFY,2025-05-16,1566.25,1566.25,1536.04,1544.2,4576751,-0.0143,1527.62,1464.18,30.21
INFY,2025-05-19,1531.19,1539.44,1510.98,1514.97,8855798,-0.0189,1534.34,1470.96,28.46
INFY,2025-05-20,1524.87,1537.98,1513.22,1515.74,7143998,0.0005,1541.69,1477.49,24.76
INFY,2025-05-21,1522.83,1525.84,1507.49,1523.42,4157309,0.0051,1533.59,1482.92,18.35
INFY,2025-05-22,1510.79,1515.94,1495.73,1503.02,6158990,-0.0134,1530.66,1488.69,20.21
INFY,2025-05-23,1505.45,1541.58,1505.45,1519.82,5038421,0.0112,1526.83,1492.85,36.13
INFY,2025-05-26,1521.57,1538.28,1517.78,1535.07,3170102,0.01,1522.32,1497.9,20.5
INFY,2025-05-27,1534.49,1537.4,1511.66,1524.97,7775714,-0.0066,1519.57,1502.05,25.74
INFY,2025-05-28,1535.56,1542.06,1524.87,1526.62,3623370,0.0011,1521.24,1506.2,17.19
INFY,2025-05-29,1543.33,1562.65,1531.28,1540.02,8609500,0.0088,1524.71,1510.28,31.37
INFY,2025-05-30,1547.31,1548.3,1531.65,1539.14,13148092,-0.0006,1526.95,1514.19,16.65
INFY,2025-06-02,1536.48,1536.48,1515.79,1530.37,4374509,-0.0057,1530.86,1517.37,20.69
INFY,2025-06-03,1535.49,1543.67,1512.45,1519.73,6853403,-0.007,1530.85,1519.96,31.22
INFY,2025-06-04,1519.73,1533.82,1518.16,1527.81,4548307,0.0053,1529.81,1522.81,15.66
INFY,2025-06-05,1524.56,1544.06,1518.36,1530.86,6948539,0.002,1530.65,1525.95,25.7
